22 июн. 2024 - 18:49:21.990 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
22 июн. 2024 - 18:49:22.023 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22 июн. 2024 - 18:49:22.198 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22 июн. 2024 - 18:49:22.222 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22 июн. 2024 - 18:49:22.352 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2969a9a6
22 июн. 2024 - 18:49:22.353 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22 июн. 2024 - 18:49:23.308 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22 июн. 2024 - 18:49:23.419 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 18:49:23.632 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22 июн. 2024 - 18:49:24.246 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 июн. 2024 - 18:49:24.475 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@38067d41, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7cd50c3d, org.springframework.security.web.context.SecurityContextHolderFilter@60610a2b, org.springframework.security.web.header.HeaderWriterFilter@57bebe03, org.springframework.security.web.authentication.logout.LogoutFilter@2c05ccdb, org.example.kun_uzz.config.JwtTokenFilter@683218c8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f68e671, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@81ac569, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d97a1a0, org.springframework.security.web.access.ExceptionTranslationFilter@7b9661d4, org.springframework.security.web.access.intercept.AuthorizationFilter@185b998d]
22 июн. 2024 - 18:49:24.690 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
22 июн. 2024 - 18:49:24.697 [main] INFO  o.example.kun_uzz.KunUzzApplication - Started KunUzzApplication in 4.825 seconds (process running for 7.379)
22 июн. 2024 - 18:49:24.743 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
22 июн. 2024 - 18:49:24.743 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
22 июн. 2024 - 18:49:24.743 [main] INFO  o.f.c.i.license.VersionPrinter - 
22 июн. 2024 - 18:49:24.755 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/jpa (PostgreSQL 16.2)
22 июн. 2024 - 18:49:24.760 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.2 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
22 июн. 2024 - 18:49:24.798 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.031s)
22 июн. 2024 - 18:49:24.806 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 4
22 июн. 2024 - 18:49:24.808 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
22 июн. 2024 - 18:50:25.519 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22 июн. 2024 - 18:50:25.519 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22 июн. 2024 - 18:50:25.521 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
22 июн. 2024 - 18:53:42.587 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 18:53:42.590 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 июн. 2024 - 18:53:42.593 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22 июн. 2024 - 18:53:46.706 [main] INFO  o.example.kun_uzz.KunUzzApplication - Starting KunUzzApplication using Java 22.0.1 with PID 9780 (C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12\kun_uz_git-master\target\classes started by ppmag in C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12)
22 июн. 2024 - 18:53:46.717 [main] INFO  o.example.kun_uzz.KunUzzApplication - No active profile set, falling back to 1 default profile: "default"
22 июн. 2024 - 18:53:47.383 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 июн. 2024 - 18:53:47.456 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 10 JPA repository interfaces.
22 июн. 2024 - 18:53:47.996 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
22 июн. 2024 - 18:53:48.007 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 июн. 2024 - 18:53:48.008 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22 июн. 2024 - 18:53:48.054 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 июн. 2024 - 18:53:48.054 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1296 ms
22 июн. 2024 - 18:53:48.156 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22 июн. 2024 - 18:53:48.208 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
22 июн. 2024 - 18:53:48.249 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22 июн. 2024 - 18:53:48.485 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22 июн. 2024 - 18:53:48.508 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22 июн. 2024 - 18:53:48.646 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@38054d01
22 июн. 2024 - 18:53:48.648 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22 июн. 2024 - 18:53:49.712 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22 июн. 2024 - 18:53:49.831 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 18:53:50.019 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
22 июн. 2024 - 18:53:50.680 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 июн. 2024 - 18:53:50.933 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@784fb189, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@15c25cb6, org.springframework.security.web.context.SecurityContextHolderFilter@78333d5a, org.springframework.security.web.header.HeaderWriterFilter@79a7f553, org.springframework.security.web.authentication.logout.LogoutFilter@21f3a99c, org.example.kun_uzz.config.JwtTokenFilter@45cce4c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b5fa30d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d800902, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6fd6d887, org.springframework.security.web.access.ExceptionTranslationFilter@6c5fbe8a, org.springframework.security.web.access.intercept.AuthorizationFilter@447522b4]
22 июн. 2024 - 18:53:51.182 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
22 июн. 2024 - 18:53:51.190 [main] INFO  o.example.kun_uzz.KunUzzApplication - Started KunUzzApplication in 4.86 seconds (process running for 5.969)
22 июн. 2024 - 18:53:51.242 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
22 июн. 2024 - 18:53:51.243 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
22 июн. 2024 - 18:53:51.243 [main] INFO  o.f.c.i.license.VersionPrinter - 
22 июн. 2024 - 18:53:51.256 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/jpa (PostgreSQL 16.2)
22 июн. 2024 - 18:53:51.261 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.2 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
22 июн. 2024 - 18:53:51.288 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.019s)
22 июн. 2024 - 18:53:51.297 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 4
22 июн. 2024 - 18:53:51.299 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
22 июн. 2024 - 18:54:04.697 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22 июн. 2024 - 18:54:04.697 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22 июн. 2024 - 18:54:04.699 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
22 июн. 2024 - 19:12:57.907 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 19:12:57.910 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 июн. 2024 - 19:12:57.912 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22 июн. 2024 - 19:13:01.651 [main] INFO  o.example.kun_uzz.KunUzzApplication - Starting KunUzzApplication using Java 22.0.1 with PID 4212 (C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12\kun_uz_git-master\target\classes started by ppmag in C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12)
22 июн. 2024 - 19:13:01.664 [main] INFO  o.example.kun_uzz.KunUzzApplication - No active profile set, falling back to 1 default profile: "default"
22 июн. 2024 - 19:13:02.365 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 июн. 2024 - 19:13:02.434 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 10 JPA repository interfaces.
22 июн. 2024 - 19:13:02.912 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
22 июн. 2024 - 19:13:02.922 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 июн. 2024 - 19:13:02.923 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22 июн. 2024 - 19:13:02.978 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 июн. 2024 - 19:13:02.979 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1271 ms
22 июн. 2024 - 19:13:03.085 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
